id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Pdia6	5	9.3502e-15	2.4748e-07	5.3e-05	1	5	-1.8921	1.0	1.0	1.0	20003	0	-1.8921
Glmn	5	1.5161e-14	2.4748e-07	5.3e-05	2	5	-1.9441	1.0	1.0	1.0	20002	0	-1.9441
Sel1l	5	2.862e-14	2.4748e-07	5.3e-05	3	5	-2.9467	1.0	1.0	1.0	20001	0	-2.9467
Ccnf	5	5.0288e-14	2.4748e-07	5.3e-05	4	5	-1.5955	1.0	1.0	1.0	20000	0	-1.5955
Dcp2	5	3.9147e-13	2.4748e-07	5.3e-05	5	5	-1.4993	1.0	1.0	1.0	19999	0	-1.4993
Mcat	5	7.5852e-13	2.4748e-07	5.3e-05	6	5	-1.7813	1.0	1.0	1.0	19998	0	-1.7813
Alg6	5	1.437e-12	2.4748e-07	5.3e-05	7	5	-2.9227	1.0	1.0	1.0	19997	0	-2.9227
Rc3h1	5	1.2307e-11	2.4748e-07	5.3e-05	8	5	-1.5274	1.0	1.0	1.0	19996	0	-1.5274
Ndufa10	5	1.4551e-11	2.4748e-07	5.3e-05	9	5	-1.2952	1.0	1.0	1.0	19995	0	-1.2952
Tcf3	5	2.3751e-11	2.4748e-07	5.3e-05	10	5	-1.7757	1.0	1.0	1.0	19994	0	-1.7757
Zfml	5	3.4372e-11	2.4748e-07	5.3e-05	11	5	-1.5965	1.0	1.0	1.0	19967	0	-1.5965
Ubr5	5	3.7531e-11	2.4748e-07	5.3e-05	12	5	-1.6981	1.0	1.0	1.0	19993	0	-1.6981
Epc2	5	6.7954e-11	2.4748e-07	5.3e-05	13	5	-1.2175	1.0	1.0	1.0	19992	0	-1.2175
Opa1	5	7.5089e-11	2.4748e-07	5.3e-05	14	5	-2.3542	1.0	1.0	1.0	19991	0	-2.3542
Dpm1	5	2.1994e-10	2.4748e-07	5.3e-05	15	4	-1.4906	0.98857	0.99003	1.0	19359	0	-1.4906
Alg9	5	3.2934e-10	2.4748e-07	5.3e-05	16	5	-1.5157	1.0	1.0	1.0	19990	0	-1.5157
Fli1	5	4.4446e-10	2.4748e-07	5.3e-05	17	5	-1.242	1.0	1.0	1.0	19989	0	-1.242
Hscb	5	5.4022e-10	2.4748e-07	5.3e-05	18	5	-1.9569	1.0	1.0	1.0	19985	0	-1.9569
Alg12	5	1.3197e-09	2.4748e-07	5.3e-05	19	5	-1.2885	1.0	1.0	1.0	19988	0	-1.2885
Hsd17b10	5	2.1374e-09	2.4748e-07	5.3e-05	20	4	-2.3538	0.92358	0.92738	1.0	17952	0	-2.3538
Mrpl42	5	2.6468e-09	2.4748e-07	5.3e-05	21	5	-1.9629	1.0	1.0	1.0	19987	0	-1.9629
