id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Sel1l	5	1.8295e-13	2.4748e-07	2e-05	1	5	-4.1291	1.0	1.0	1.0	20003	0	-4.1291
Alg6	5	3.5486e-13	2.4748e-07	2e-05	2	5	-4.9322	1.0	1.0	1.0	20002	0	-4.9322
Adat3	5	9.7357e-13	2.4748e-07	2e-05	3	5	-2.3921	1.0	1.0	1.0	20001	0	-2.3921
Ubr4	10	9.9772e-13	2.4748e-07	2e-05	4	10	-1.0178	1.0	1.0	1.0	20000	0	-1.0178
Pdia6	5	2.4633e-12	2.4748e-07	2e-05	5	5	-2.2611	1.0	1.0	1.0	19999	0	-2.2611
Ndufa10	5	4.9304e-12	2.4748e-07	2e-05	6	5	-2.5719	1.0	1.0	1.0	19998	0	-2.5719
Cbfb	5	1.7984e-11	2.4748e-07	2e-05	7	5	-2.0103	1.0	1.0	1.0	19926	0	-2.0103
Ndufb10	5	1.9927e-11	2.4748e-07	2e-05	8	5	-2.7291	1.0	1.0	1.0	19997	0	-2.7291
Glmn	5	2.4696e-11	2.4748e-07	2e-05	9	5	-2.8914	1.0	1.0	1.0	19996	0	-2.8914
Nars2	5	3.4306e-11	2.4748e-07	2e-05	10	5	-2.5174	1.0	1.0	1.0	19995	0	-2.5174
Cebpe	5	7.3385e-11	2.4748e-07	2e-05	11	5	-1.7304	1.0	1.0	1.0	19994	0	-1.7304
Rad54l2	5	1.2946e-10	2.4748e-07	2e-05	12	5	-2.6074	1.0	1.0	1.0	19993	0	-2.6074
Rwdd1	5	1.4446e-10	2.4748e-07	2e-05	13	5	-1.8488	1.0	1.0	1.0	19992	0	-1.8488
Dpm1	5	1.6561e-10	2.4748e-07	2e-05	14	5	-2.0924	0.99708	0.99914	1.0	19450	0	-2.0924
Rtn4ip1	5	1.9162e-10	2.4748e-07	2e-05	15	5	-3.5689	1.0	1.0	1.0	19991	0	-3.5689
Fli1	5	2.2518e-10	2.4748e-07	2e-05	16	5	-2.4841	1.0	1.0	1.0	19990	0	-2.4841
Opa1	5	2.4747e-10	2.4748e-07	2e-05	17	5	-3.1331	1.0	1.0	1.0	19989	0	-3.1331
Ambra1	5	2.5233e-10	2.4748e-07	2e-05	18	5	-2.2909	1.0	1.0	1.0	19988	0	-2.2909
Vars	5	2.6736e-10	2.4748e-07	2e-05	19	5	-1.958	1.0	1.0	1.0	19987	0	-1.958
Ing3	5	3.5622e-10	2.4748e-07	2e-05	20	5	-3.5343	1.0	1.0	1.0	19986	0	-3.5343
Kti12	5	4.0088e-10	2.4748e-07	2e-05	21	5	-3.1335	1.0	1.0	1.0	19985	0	-3.1335
Zfml	5	4.3761e-10	2.4748e-07	2e-05	22	5	-2.5657	1.0	1.0	1.0	19984	0	-2.5657
Alkbh8	5	4.6568e-10	2.4748e-07	2e-05	23	5	-1.4359	1.0	1.0	1.0	19983	0	-1.4359
Suds3	5	5.2439e-10	2.4748e-07	2e-05	24	5	-4.0755	1.0	1.0	1.0	19982	0	-4.0755
