Gene Name (Hs),Functional Category,Included in which metabolic enzyme/transporter sets (please add your name if you are adding a new gene)
ABCA1,ABC Transporter,In RP
ABCA10,ABC Transporter,In RP
ABCA12,ABC Transporter,In RP
ABCA13,ABC Transporter,In RP
ABCA2,ABC Transporter,In RP
ABCA3,ABC Transporter,In RP
ABCA4,ABC Transporter,In RP
ABCA5,ABC Transporter,In RP
ABCA6,ABC Transporter,In RP
ABCA7,ABC Transporter,In RP
ABCA8,ABC Transporter,In RP
ABCA9,ABC Transporter,In RP
ABCB1,ABC Transporter,In RP
ABCB10,ABC Transporter,In RP
ABCB11,ABC Transporter,In RP
ABCB4,ABC Transporter,In RP
ABCB5,ABC Transporter,In RP
ABCB6,ABC Transporter,In RP
ABCB7,ABC Transporter,In RP
ABCB8,ABC Transporter,In RP
ABCB9,ABC Transporter,In RP
ABCC1,ABC Transporter,In RP
ABCC10,ABC Transporter,In RP
ABCC11,ABC Transporter,In RP
ABCC12,ABC Transporter,In RP
ABCC13,ABC Transporter,In RP
ABCC2,ABC Transporter,In RP
ABCC3,ABC Transporter,In RP
ABCC4,ABC Transporter,In RP
ABCC5,ABC Transporter,In RP
ABCC6,ABC Transporter,In RP
ABCC8,ABC Transporter,In RP
ABCC9,ABC Transporter,In RP
ABCD1,ABC Transporter,In RP
ABCD2,ABC Transporter,In RP
ABCD3,ABC Transporter,In RP
ABCD4,ABC Transporter,In RP
ABCE1,ABC Transporter,In RP
ABCF1,ABC Transporter,In RP
ABCF2,ABC Transporter,In RP
ABCF3,ABC Transporter,In RP
ABCG1,ABC Transporter,In RP
ABCG2,ABC Transporter,In RP
ABCG4,ABC Transporter,In RP
ABCG5,ABC Transporter,In RP
ABCG8,ABC Transporter,In RP
AADAT,Amino Acid,In RP
ACY1,Amino Acid,In RP
ACY1L,Amino Acid,In RP
ACY3,Amino Acid,In RP
ADC,Amino Acid,In RP
ADI1,Amino Acid,In RP
AGPS,Amino Acid,In RP
AGXT,Amino Acid,In RP
AGXT2,Amino Acid,In RP
AGXT2L1,Amino Acid,In RP
AGXT2L2,Amino Acid,In RP
ASNS,Amino Acid,In RP
ASNSD1,Amino Acid,In RP
ASPA,Amino Acid,In RP
ASPG,Amino Acid,In RP
ASRGL1,Amino Acid,In RP
CCBL1,Amino Acid,In RP
CCBL2,Amino Acid,In RP
CRYM,Amino Acid,In RP
DAO,Amino Acid,In RP
DDO,Amino Acid,In RP
GCAT,Amino Acid,In RP
GCDH,Amino Acid,In RP
GPT,Amino Acid,In RP
GPT2,Amino Acid,In RP
ILVBL,Amino Acid,In RP
LGSN,Amino Acid,In RP
PCBD1,Amino Acid,In RP
PCBD2,Amino Acid,In RP
SCCPDH,Amino Acid,In RP
SCLY,Amino Acid,In RP
SDS,Amino Acid,In RP
SDSL,Amino Acid,In RP
SEPHS1,Amino Acid,In RP
SEPHS2,Amino Acid,In RP
THNSL1,Amino Acid,In RP
THNSL2,Amino Acid,In RP
TMLHE,Amino Acid,In RP
CHI3L1,Aminosugar,In RP
CHI3L2,Aminosugar,In RP
CHIA,Aminosugar,In RP
CHID1,Aminosugar,In RP
CHIT1,Aminosugar,In RP
CMAS,Aminosugar,In RP
GFPT1,Aminosugar,In RP
GFPT2,Aminosugar,In RP
GNE,Aminosugar,In RP
GNPDA1,Aminosugar,In RP
GNPDA2,Aminosugar,In RP
GNPNAT1,Aminosugar,In RP
GNPTAB,Aminosugar,In RP
GNPTG,Aminosugar,In RP
NAGK,Aminosugar,In RP
NANP,Aminosugar,In RP
NANS,Aminosugar,In RP
NPL,Aminosugar,In RP
PGM3,Aminosugar,In RP
RENBP,Aminosugar,In RP
UAP1,Aminosugar,In RP
UAP1L1,Aminosugar,In RP
LDHA,Anaerobic Glycolysis,In RP
LDHAL6A,Anaerobic Glycolysis,In RP
LDHAL6B,Anaerobic Glycolysis,In RP
LDHB,Anaerobic Glycolysis,In RP
LDHC,Anaerobic Glycolysis,In RP
LDHD,Anaerobic Glycolysis,In RP
ATP13A1,ATPase,In RP
ATP13A2,ATPase,In RP
ATP13A3,ATPase,In RP
ATP13A4,ATPase,In RP
ATP13A5,ATPase,In RP
MMAB,B12,In RP
MMACHC,B12,In RP
MMADHC,B12,In RP
MTRR,B12,In RP
BCAT1,BCAAs,In RP
BCAT2,BCAAs,In RP
BCKDHA,BCAAs,In RP
BCKDHB,BCAAs,In RP
DBT,BCAAs,In RP
HIBADH,BCAAs,In RP
HIBCH,BCAAs,In RP
IVD,BCAAs,In RP
MCCC1,BCAAs,In RP
MCCC2,BCAAs,In RP
GCH1,BH4,In RP
PTS,BH4,In RP
QDPR,BH4,In RP
SPR,BH4,In RP
BAAT,Bile Acid,In RP
CYP27A1,Bile Acid,In RP
CYP7A1,Bile Acid,In RP
CYP7B1,Bile Acid,In RP
CYP8B1,Bile Acid,In RP
HSD3B7,Bile Acid,In RP
FBP1,Carbohydrate Storage,In RP
FBP2,Carbohydrate Storage,In RP
G6PC,Carbohydrate Storage,In RP
G6PC2,Carbohydrate Storage,In RP
G6PC3,Carbohydrate Storage,In RP
GBE1,Carbohydrate Storage,In RP
GYG1,Carbohydrate Storage,In RP
GYG2,Carbohydrate Storage,In RP
