id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
FAM103A1	10	5.1567e-15	2.6188e-07	0.000707	1	5	-0.69443	0.74833	0.84646	0.967963	16581	2	-0.69443
VPS72	10	8.2185e-13	2.6188e-07	0.000707	2	8	-1.2389	0.26091	0.45297	0.883148	9767	1	-1.2389
ACTR6	10	3.5895e-11	2.6188e-07	0.000707	3	10	-1.0629	1.0	1.0	1.0	18903	0	-1.0629
MBTPS2	10	1.1568e-09	2.6188e-07	0.000707	4	8	-0.83173	0.99971	0.99961	1.0	18885	0	-0.83173
CFDP1	20	2.176e-09	2.6188e-07	0.000707	5	11	-0.42379	0.52581	0.76604	0.95807	14049	5	-0.42379
LDLR	10	3.1275e-08	2.6188e-07	0.000707	6	9	-0.93345	0.99933	0.99916	1.0	18871	0	-0.93345
ATP5B	10	3.9839e-08	2.6188e-07	0.000707	7	8	-0.84821	0.61715	0.76647	0.95807	15184	1	-0.84821
PDCL	10	3.4686e-07	2.8806e-06	0.006807	8	10	-1.2107	0.99999	0.99999	1.0	18901	0	-1.2107
DLD	10	5.1796e-07	3.4044e-06	0.007151	9	8	-0.75101	0.60346	0.75548	0.956193	15014	1	-0.75101
TXNDC9	10	8.5281e-07	4.9756e-06	0.009406	10	8	-1.0489	0.99774	0.99711	1.0	18831	0	-1.0489
CEBPD	10	1.1154e-06	5.4994e-06	0.009451	11	10	-0.63669	1.0	1.0	1.0	18902	0	-0.63669
EMC2	10	1.2416e-06	6.0231e-06	0.009488	12	8	-0.84414	0.98953	0.98476	0.998251	18662	0	-0.84414
MUTYH	10	1.3828e-06	6.5469e-06	0.00952	13	8	-0.42836	0.86339	0.90799	0.981617	17539	2	-0.42836
ADAMTS7	10	2.7907e-06	1.5974e-05	0.02157	14	6	-0.60684	0.75349	0.84837	0.968017	16625	2	-0.60684
GTF3C5	10	3.0299e-06	1.9117e-05	0.022587	15	6	-0.56166	0.93561	0.94226	0.986566	18099	1	-0.56166
BRF1	10	3.1214e-06	1.9117e-05	0.022587	16	9	-0.56741	0.99865	0.99811	1.0	18851	0	-0.56741
CSTF2	10	4.686e-06	3.2211e-05	0.033611	17	8	-0.72557	0.91242	0.93513	0.98487	17977	1	-0.72557
CPSF1	10	5.1388e-06	3.3258e-05	0.033611	18	7	-0.83967	0.99402	0.99157	0.999927	18749	0	-0.83967
COQ10A	10	5.4376e-06	3.3782e-05	0.033611	19	5	-0.21316	0.053253	0.1341	0.738494	3456	4	-0.21316
DPY30	9	6.9908e-06	4.4257e-05	0.041832	20	7	-0.80314	0.99497	0.99343	1.0	18762	0	-0.80314
FLAD1	10	7.9792e-06	4.6876e-05	0.042197	21	8	-0.57305	0.98724	0.9814	0.997489	18616	0	-0.57305
FIG4	10	1.1796e-05	7.1492e-05	0.061431	22	7	-0.60403	0.35195	0.55871	0.923988	11422	2	-0.60403
ALK	10	1.3112e-05	7.6206e-05	0.062635	23	6	-0.51805	0.83769	0.89142	0.977294	17308	2	-0.51805
PTGER4	19	1.5209e-05	0.00011968	0.083792	24	12	-0.31149	0.59435	0.81207	0.962328	14903	5	-0.31149
TOE1	10	1.7548e-05	0.00010344	0.080594	25	8	-0.58452	0.73218	0.8401	0.967211	16472	1	-0.58452
HINT1	10	1.8208e-05	0.00010658	0.080594	26	6	-0.3907	0.025003	0.071485	0.635648	2065	2	-0.3907
DIAPH2	10	2.016e-05	0.00011392	0.082826	27	5	-0.09405	0.78226	0.86205	0.971739	16841	2	-0.09405
MIOS	10	2.217e-05	0.00012596	0.085042	28	5	-0.33203	0.51217	0.69647	0.949161	13871	3	-0.33203
MMP7	10	2.5524e-05	0.00013853	0.090304	29	9	-0.50394	0.98343	0.97454	0.994958	18542	1	-0.50394
FARSB	9	2.9263e-05	0.00015424	0.092358	30	9	-1.0137	0.99997	0.99997	1.0	18899	0	-1.0137
GPAA1	10	2.9479e-05	0.00014953	0.092358	31	9	-0.84162	0.99819	0.99754	1.0	18842	0	-0.84162
ZNF808	19	3.0103e-05	0.00025428	0.132861	32	11	-0.42696	0.86771	0.95122	0.990055	17575	3	-0.42696
PIK3R5	10	3.1844e-05	0.00015634	0.092358	33	6	-0.59977	0.5154	0.6986	0.949161	13905	2	-0.59977
NUDCD3	10	3.5528e-05	0.00018305	0.10486	34	8	-0.97859	0.97377	0.96487	0.993872	18381	1	-0.97859
CHST1	10	3.8269e-05	0.00019195	0.106727	35	7	-0.94525	0.45017	0.65142	0.944357	13085	1	-0.94525
BTAF1	10	4.7338e-05	0.00023019	0.124328	36	9	-0.66443	0.53625	0.71305	0.949161	14173	1	-0.66443
ATP5J2-PTCD1	20	4.939e-05	0.00041979	0.180356	37	14	-0.28119	0.92123	0.97279	0.994592	18022	3	-0.28119
RFK	10	5.3633e-05	0.00026004	0.132861	38	8	-0.59784	0.99618	0.99472	1.0	18787	0	-0.59784
PAN2	10	5.715e-05	0.00027575	0.136964	39	8	-0.61004	0.98976	0.98526	0.998299	18669	0	-0.61004
SBNO1	10	5.7936e-05	0.00028256	0.136964	40	7	-0.55854	0.46855	0.67025	0.949161	13380	1	-0.55854
CCRN4L	10	6.1808e-05	0.00030404	0.143688	41	8	-0.46547	0.35124	0.55852	0.923988	11409	1	-0.46547
