id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RFK	10	5.0586e-17	3.054e-06	0.000825	1	10	-1.5155	1.0	1.0	1.0	1620	0	-1.5155
PDCL	10	1.5018e-15	3.054e-06	0.000825	2	9	-1.5453	0.99553	0.96981	0.987478	1592	0	-1.5453
MBTPS2	10	5.5784e-10	3.054e-06	0.000825	3	10	-0.99772	1.0	1.0	1.0	1619	0	-0.99772
NCOA6	10	4.4213e-09	3.054e-06	0.000825	4	8	-0.6427	0.94266	0.82292	0.921247	1441	1	-0.6427
AMBRA1	10	1.984e-08	3.054e-06	0.000825	5	9	-0.62462	0.99932	0.99623	1.0	1611	0	-0.62462
MBD6	10	3.5294e-08	3.054e-06	0.000825	6	10	-0.59072	1.0	1.0	1.0	1618	0	-0.59072
SLC38A2	10	3.9599e-07	9.1619e-06	0.001856	7	9	-0.69124	0.99999	0.99997	1.0	1617	0	-0.69124
VARS	10	4.2848e-07	9.1619e-06	0.001856	8	8	-0.8591	0.91884	0.79797	0.91739	1414	1	-0.8591
CEBPD	10	1.0895e-06	5.8026e-05	0.010451	9	9	-0.50865	0.94609	0.82293	0.921247	1450	1	-0.50865
VPS72	10	2.9602e-06	0.00010689	0.015752	10	9	-0.61085	0.98904	0.93204	0.96293	1568	0	-0.61085
CD14	10	3.1769e-06	0.00010689	0.015752	11	9	-0.57673	0.85813	0.74387	0.89863	1333	1	-0.57673
AHR	10	6.3374e-06	0.00019851	0.026815	12	7	-0.6208	0.9977	0.98428	0.995334	1603	0	-0.6208
NUDCD3	10	1.449e-05	0.00038175	0.047601	13	7	-0.64281	0.54477	0.36647	0.644311	920	1	-0.64281
IFT43	10	4.1729e-05	0.0012002	0.129703	14	8	-0.49381	0.88169	0.77022	0.91374	1364	1	-0.49381
GABPB1	10	4.2365e-05	0.0012002	0.129703	15	5	-0.26372	0.89698	0.78398	0.914301	1387	1	-0.26372
METTL14	10	9.4274e-05	0.0025684	0.244904	16	7	-0.55128	0.84975	0.72921	0.897991	1312	1	-0.55128
VEZF1	10	9.446e-05	0.0025684	0.244904	17	8	-0.441	0.95252	0.83912	0.932909	1462	1	-0.441
UBR5	10	0.00010262	0.0027333	0.24615	18	7	-0.61804	0.444	0.28902	0.576983	792	1	-0.61804
ATP5J2-PTCD1	9	0.00015571	0.0031609	0.269672	19	7	-0.54089	0.63986	0.48143	0.741122	1069	2	-0.54089
RPP21	10	0.00019335	0.0038633	0.313119	20	8	-0.49565	0.99819	0.98812	0.997346	1606	0	-0.49565
HTR3D	20	0.00021704	0.0088901	0.544371	21	13	-0.33069	0.99294	0.96556	0.986868	1579	2	-0.33069
TTC4	10	0.00030749	0.0054819	0.416067	22	5	-0.36009	0.58001	0.40663	0.663142	979	3	-0.36009
FBXO11	10	0.00031407	0.0056468	0.416067	23	6	-0.37456	0.98654	0.93038	0.96293	1560	0	-0.37456
ATP5J2	10	0.000348	0.0060316	0.425097	24	8	-0.46073	0.69902	0.56296	0.796969	1119	2	-0.46073
PTCD1	8	0.00043989	0.0064225	0.433787	25	7	-0.46073	0.64595	0.49226	0.74666	1077	1	-0.46073
CA11	10	0.00049573	0.0082244	0.533267	26	6	-0.37214	0.56554	0.39107	0.658654	952	2	-0.37214
ABL2	20	0.00056351	0.016104	0.815749	27	10	-0.22324	0.97045	0.91591	0.960348	1498	1	-0.22324
C22orf39	8	0.00063826	0.0090673	0.544371	28	6	-0.41065	0.75407	0.62415	0.8334	1184	1	-0.41065
RTCB	10	0.00064424	0.010258	0.593883	29	7	-0.43471	0.94381	0.82292	0.921247	1444	1	-0.43471
YTHDF2	10	0.00074022	0.011694	0.642079	30	7	-0.36702	0.98323	0.90885	0.955417	1549	0	-0.36702
GATAD2B	10	0.00074342	0.011883	0.642079	31	7	-0.46483	0.78206	0.63552	0.84028	1222	1	-0.46483
FZR1	10	0.00086605	0.013361	0.698659	32	6	-0.39762	0.90732	0.78965	0.914303	1401	1	-0.39762
YEATS4	10	0.0012374	0.017588	0.863936	33	7	-0.41119	0.99969	0.99851	1.0	1614	0	-0.41119
FAM181B	10	0.0014475	0.019939	0.950641	34	3	-0.06677	0.95594	0.84198	0.932909	1469	1	-0.06677
AAAS	10	0.0015038	0.021833	0.989136	35	7	-0.31112	0.89246	0.77837	0.914301	1378	1	-0.31112
WHSC1L1	10	0.0016406	0.021967	0.989136	36	6	-0.32079	0.93593	0.80896	0.919587	1429	1	-0.32079
SAMHD1	10	0.0016563	0.022719	0.995317	37	7	-0.3701	0.99807	0.98726	0.997346	1604	0	-0.3701
HIST1H3J	10	0.0018804	0.023415	0.998828	38	3	-0.032415	0.35596	0.22404	0.513682	688	4	-0.032415
AKTIP	10	0.0022661	0.025033	1.0	39	5	-0.13763	0.81793	0.68894	0.879685	1265	2	-0.13763
RAVER1	20	0.0023021	0.047389	1.0	40	11	-0.25188	0.99974	0.99303	0.999819	1615	0	-0.25188
ELAVL3	20	0.0024283	0.048219	1.0	41	8	-0.1001	0.94198	0.86371	0.944719	1438	3	-0.1001
C1RL	10	0.0024464	0.025693	1.0	42	6	-0.35059	0.88669	0.77282	0.91374	1366	1	-0.35059
SLC35B1	10	0.002453	0.025693	1.0	43	6	-0.36953	0.98616	0.93037	0.96293	1558	0	-0.36953
TNPO1	10	0.0025603	0.026567	1.0	44	6	-0.368	0.97889	0.90163	0.955417	1534	0	-0.368
AGO3	10	0.0027643	0.029474	1.0	45	7	-0.32863	0.84179	0.71717	0.892195	1299	2	-0.32863
RNF219	10	0.0029955	0.03108	1.0	46	6	-0.37734	0.97741	0.89889	0.955417	1528	0	-0.37734
DHX15	10	0.0031519	0.033536	1.0	47	6	-0.41187	0.43021	0.26925	0.555988	774	2	-0.41187
SRSF12	10	0.0032544	0.03403	1.0	48	7	-0.27028	0.81471	0.68251	0.874594	1258	1	-0.27028
UBQLN3	10	0.0033575	0.035276	1.0	49	6	-0.30599	0.98686	0.93038	0.96293	1563	0	-0.30599
PTPN6	10	0.0033706	0.035283	1.0	50	6	-0.3372	0.5971	0.43429	0.694265	1008	2	-0.3372
RNF133	10	0.0034635	0.036064	1.0	51	7	-0.31148	0.51412	0.34263	0.628993	879	1	-0.31148
UCKL1	10	0.0035769	0.036645	1.0	52	7	-0.27724	0.99485	0.9663	0.987001	1590	0	-0.27724
HNRNPUL2	10	0.0036314	0.037292	1.0	53	5	-0.19087	0.72229	0.5735	0.798659	1152	2	-0.19087
ZNF821	10	0.0036884	0.037701	1.0	54	7	-0.34888	0.66481	0.51767	0.767051	1085	1	-0.34888
