id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ATR	10	1.2656e-12	3.054e-06	0.001238	1	10	-1.9353	1.0	1.0	1.0	1620	0	-1.9353
DBR1	10	6.2654e-10	3.054e-06	0.001238	2	10	-2.1537	0.99999	0.99998	1.0	1619	0	-2.1537
SFPQ	10	9.6964e-08	3.054e-06	0.001238	3	8	-1.9267	0.97807	0.98686	1.0	1571	1	-1.9267
KANSL2	10	1.9725e-07	3.054e-06	0.001238	4	8	-2.3406	0.47365	0.734	1.0	1188	2	-2.3406
PAF1	10	1.6104e-06	1.527e-05	0.00495	5	9	-1.719	0.49695	0.76752	1.0	1216	1	-1.719
GTF3C3	10	2.5263e-06	2.7486e-05	0.007426	6	9	-1.1493	0.24282	0.52388	0.990361	872	1	-1.1493
KANSL3	10	4.3712e-06	0.00024126	0.05587	7	8	-1.4795	0.98129	0.98809	1.0	1575	1	-1.4795
SF3B3	10	2.41e-05	0.0003451	0.069926	8	10	-1.5815	0.99998	0.99995	1.0	1618	0	-1.5815
ATIC	10	4.546e-05	0.0004245	0.072772	9	9	-1.3539	0.99031	0.99229	1.0	1589	1	-1.3539
C3orf17	10	5.885e-05	0.00044893	0.072772	10	9	-1.4813	0.99646	0.99694	1.0	1604	0	-1.4813
UBR5	10	7.0785e-05	0.00051001	0.075158	11	9	-0.7627	0.99904	0.99931	1.0	1613	0	-0.7627
TNPO1	10	0.00015968	0.00088871	0.12005	12	9	-0.84643	0.99994	0.99991	1.0	1617	0	-0.84643
RUVBL1	10	0.00019504	0.0010658	0.12161	13	8	-1.9536	0.92581	0.97035	1.0	1534	2	-1.9536
PDCD11	10	0.00024177	0.0013163	0.12161	14	8	-1.1914	0.99947	0.99965	1.0	1614	0	-1.1914
RIOK2	10	0.00026105	0.0014018	0.12161	15	7	-1.2278	0.58395	0.82886	1.0	1316	3	-1.2278
KRTAP10-4	10	0.00027265	0.0014201	0.12161	16	3	0.081408	0.52634	0.78231	1.0	1254	4	0.081408
AATF	10	0.00032324	0.0015484	0.12161	17	8	-1.3217	0.99291	0.99405	1.0	1595	0	-1.3217
POP5	10	0.00033122	0.0015911	0.12161	18	9	-0.89832	0.99993	0.99991	1.0	1616	0	-0.89832
CTR9	10	0.00033636	0.0016217	0.12161	19	5	-0.8869	0.23835	0.51841	0.987865	865	3	-0.8869
CLNS1A	10	0.00034562	0.0016522	0.12161	20	8	-1.2569	0.95352	0.98118	1.0	1558	1	-1.2569
SDAD1	10	0.00035263	0.001695	0.12161	21	5	-0.33236	0.14144	0.37973	0.952045	637	4	-0.33236
NVL	10	0.00035739	0.0017133	0.12161	22	7	-1.0853	0.08492	0.27407	0.952045	434	2	-1.0853
CHEK1	10	0.00037718	0.0017255	0.12161	23	7	-0.89901	0.93631	0.97455	1.0	1545	2	-0.89901
YEATS4	10	0.00051559	0.0024585	0.166048	24	7	-1.2147	0.91653	0.96714	1.0	1525	2	-1.2147
EIF4G1	10	0.00053548	0.00266	0.167746	25	8	-0.91097	0.74075	0.89387	1.0	1431	2	-0.91097
NOP2	10	0.00054347	0.0026906	0.167746	26	8	-1.3241	0.99762	0.99816	1.0	1608	0	-1.3241
MED23	10	0.00066953	0.0031181	0.179071	27	8	-0.86484	0.83438	0.94189	1.0	1479	1	-0.86484
RBM26	10	0.00072513	0.0032036	0.179071	28	6	-0.44072	0.57621	0.82396	1.0	1306	3	-0.44072
PPIP5K1	30	0.00073692	0.0061171	0.236091	29	17	-0.24299	0.32693	0.74186	1.0	1011	8	-0.24299
PDIA3	9	0.00074135	0.0028188	0.169234	30	6	-1.1549	0.84731	0.93531	1.0	1482	1	-1.1549
EEF2	20	0.00080044	0.0050543	0.22411	31	11	-0.6117	0.26776	0.62945	0.996217	914	4	-0.6117
CDC73	10	0.00081258	0.0035884	0.183323	32	7	-0.97553	0.79965	0.92343	1.0	1467	2	-0.97553
RNF103-CHMP3	10	0.00081776	0.0035945	0.183323	33	3	-0.19459	0.94201	0.9772	1.0	1551	2	-0.19459
