id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ITGAM	10	1.0674e-25	3.054e-06	4.2e-05	1	10	-5.9744	1.0	1.0	1.0	1619	0	-5.9744
NCOA6	10	9.6751e-18	3.054e-06	4.2e-05	2	10	-2.3871	1.0	1.0	1.0	1620	0	-2.3871
ITGB2	10	2.8134e-15	3.054e-06	4.2e-05	3	9	-3.6232	0.99588	0.99609	1.0	1527	0	-3.6232
MBTPS2	10	3.5934e-15	3.054e-06	4.2e-05	4	10	-2.1909	1.0	1.0	1.0	1618	0	-2.1909
DBR1	10	5.603e-15	3.054e-06	4.2e-05	5	10	-2.1425	1.0	1.0	1.0	1617	0	-2.1425
EPC1	10	2.3026e-12	3.054e-06	4.2e-05	6	10	-1.4119	1.0	1.0	1.0	1616	0	-1.4119
PDCL	10	2.9131e-12	3.054e-06	4.2e-05	7	10	-2.1658	1.0	1.0	1.0	1615	0	-2.1658
KANSL3	10	3.7783e-12	3.054e-06	4.2e-05	8	10	-1.9685	1.0	1.0	1.0	1614	0	-1.9685
CEBPD	10	4.0431e-12	3.054e-06	4.2e-05	9	10	-1.3289	1.0	1.0	1.0	1613	0	-1.3289
SLC35B1	10	4.7619e-12	3.054e-06	4.2e-05	10	10	-1.9738	1.0	1.0	1.0	1612	0	-1.9738
ACTR6	10	5.0505e-12	3.054e-06	4.2e-05	11	10	-1.9242	1.0	1.0	1.0	1611	0	-1.9242
TLE3	10	9.3747e-12	3.054e-06	4.2e-05	12	10	-1.134	1.0	1.0	1.0	1610	0	-1.134
SMARCA5	10	9.6852e-12	3.054e-06	4.2e-05	13	8	-2.0081	0.98429	0.97745	1.0	1470	0	-2.0081
NUDCD3	10	1.018e-11	3.054e-06	4.2e-05	14	10	-2.0442	1.0	1.0	1.0	1609	0	-2.0442
HDAC1	10	1.7172e-11	3.054e-06	4.2e-05	15	9	-1.1613	0.99812	0.99752	1.0	1543	0	-1.1613
CNOT10	10	1.7341e-11	3.054e-06	4.2e-05	16	10	-1.5107	1.0	1.0	1.0	1601	0	-1.5107
NUP35	10	2.1023e-11	3.054e-06	4.2e-05	17	10	-1.4327	1.0	1.0	1.0	1608	0	-1.4327
ELOF1	10	2.7226e-11	3.054e-06	4.2e-05	18	9	-2.5156	0.81185	0.82546	1.0	1270	1	-2.5156
VPS72	10	3.0685e-11	3.054e-06	4.2e-05	19	10	-1.9256	1.0	1.0	1.0	1599	0	-1.9256
PYCARD	10	3.2127e-11	3.054e-06	4.2e-05	20	10	-1.3557	1.0	1.0	1.0	1598	0	-1.3557
SPI1	10	6.0388e-11	3.054e-06	4.2e-05	21	10	-3.0683	1.0	1.0	1.0	1607	0	-3.0683
CUL1	10	7.1301e-11	3.054e-06	4.2e-05	22	10	-2.3692	1.0	1.0	1.0	1605	0	-2.3692
NAA25	10	2.2431e-10	3.054e-06	4.2e-05	23	9	-1.6461	0.96082	0.9481	1.0	1417	1	-1.6461
LEO1	10	2.3383e-10	3.054e-06	4.2e-05	24	9	-2.296	0.90719	0.92469	1.0	1372	1	-2.296
VARS	10	3.1369e-10	3.054e-06	4.2e-05	25	10	-1.4932	1.0	1.0	1.0	1606	0	-1.4932
