# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "10" "-p" "-O" "-M" "--fraction" "-F" "SAF" "-a" "230907_all_genebodies.saf" "-o" "230920_bd302_pol2_at_genebodies.txt" "/home/briando/data/files/220211VanA/mm10/results/bowtie2_bam/ERHoxa9_PolIIS2_DMSO_24h_aligned_sorted_rmdup_noblacklist.bam" "/home/briando/data/files/220211VanA/mm10/results/bowtie2_bam/ERHoxa9_PolIIS2_BRQ_1uM_24h_aligned_sorted_rmdup_noblacklist.bam" "/home/briando/data/files/220211VanA/mm10/results/bowtie2_bam/ERHoxa9_PolIIS2_E2wd_24h_aligned_sorted_rmdup_noblacklist.bam" "/home/briando/data/files/211201Van/results/bowtie2_bam/IgG_dsDNA_Mixed_aligned_sorted_rmdup.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/briando/data/files/220211VanA/mm10/results/bowtie2_bam/ERHoxa9_PolIIS2_DMSO_24h_aligned_sorted_rmdup_noblacklist.bam	/home/briando/data/files/220211VanA/mm10/results/bowtie2_bam/ERHoxa9_PolIIS2_BRQ_1uM_24h_aligned_sorted_rmdup_noblacklist.bam	/home/briando/data/files/220211VanA/mm10/results/bowtie2_bam/ERHoxa9_PolIIS2_E2wd_24h_aligned_sorted_rmdup_noblacklist.bam	/home/briando/data/files/211201Van/results/bowtie2_bam/IgG_dsDNA_Mixed_aligned_sorted_rmdup.bam
Ldlrap1	chr4	134741554	134767774	-	26221	1054	1350	794	138
Mdn1	chr4	32657369	32775217	+	117849	2676	1696	1141	352
Wfdc17	chr11	83704241	83706268	+	2028	22	7	8	8
Mfap1b	chr2	121460235	121473817	-	13583	319	241	190	47
Tmsb15b2	chrX	136955265	136957775	-	2511	11	10	13.50	3
Gm15772	chr11	68901860	68906989	+	5130	249	210	96.50	18
Gm16982	chr7	141610066	141613497	-	3432	26	16	18	6.50
Gm11149	chr9	49518538	49572591	+	54054	253.50	237.50	177.50	97.50
Gm11696	chr11	109352835	109363404	-	10570	174	168.50	110.50	56
Dnajc3	chr14	118938226	118981697	+	43472	758	692	455	118
Gm12359	chr11	98797707	98809837	-	12131	251.33	241.83	131.83	21.67
Rsph3b	chr17	6904413	6948432	-	44020	703	764	409	172
Rnaset2a	chr17	8115445	8147535	-	32091	572	590	372	118
F630028O10Rik	chrX	96240176	96243636	+	3461	219	260	347	18
Gm10785	chr16	91689148	91715642	+	26495	223.83	224.33	129.33	27.67
Gm15441	chr3	96555765	96566551	-	10787	250	397.50	137.50	40
Gm10767	chr13	66905164	66909236	+	4073	63	42	29.50	7.50
Gm10658	chr9	57056630	57071716	-	15087	303.50	191	159.50	44
F420014N23Rik	chr10	127195499	127202643	+	7145	100	109	61.50	14
Cep85l	chr10	53273443	53379697	-	106255	1247	1253	995	284
Gm1976	chr17	94759944	94834549	-	74606	863	553.50	487	178
Gm10825	chr10	22403133	22407470	+	4338	45	54	38	19
Isg15	chr4	156199455	156200546	-	1092	12	7	8	3
Sirpb1c	chr3	15795145	15848278	-	53134	410	318	275	189
Gm14295	chr2	176798862	176811223	+	12362	84	62	61	32
Ccdc152	chr15	3280070	3303276	-	23207	128	137	114	51
Gm15706	chr6	145250779	145251849	+	1071	24	14	13	9
Msmp	chr4	43583216	43584244	-	1029	10.50	9.50	6.50	1.50
Mthfsl	chr9	88688602	88720046	-	31445	354	289	197	117
Tgtp2	chr11	49057194	49063956	-	6763	31.50	32	29	13
Snhg12	chr4	132308873	132311024	+	2152	163	177	66	10
Gm15501	chr7	93178983	93183926	-	4944	19	18	16	11
Mndal	chr1	173849126	173880631	-	31506	173	129	114	68
Tmem181c-ps	chr17	6613753	6639540	-	25788	547	420	308	156
Dynlt1c	chr17	6602042	6607549	+	5508	133	113	77	38
Fancf	chr7	51860577	51862017	-	1441	15	16	13	3
Foxd2os	chr4	114909507	114921967	+	12461	139	94	74	42
Mroh2a	chr1	88227236	88262289	+	35054	1881	1678	1123	676
Rpl14-ps1	chr7	45325215	45325617	+	403	2	2.50	2	1
Ly6c2	chr15	75108158	75111720	-	3563	16	18	25	16
Amd2	chr10	40289324	40301936	-	12613	270.50	160.50	125	26.50
Oaz1-ps	chr10	80827962	80828977	+	1016	28.50	20.50	17.50	5
Gm3604	chr13	62368328	62382927	-	14600	82	69	48	38
Gm15421	chr5	22528321	22528469	-	149	2.50	2	2	0
9130019P16Rik	chr6	54269681	54429971	-	160291	1415	966	733	448
Nrg2	chr18	36017652	36197130	-	179479	3056	3453	1555	644
Rps15a-ps6	chr11	6172644	6172786	-	143	1.50	1	1.50	0
2810410L24Rik	chr11	120185400	120189602	-	4203	87	86	38	25
Nhsl2	chrX	101849635	102092055	+	242421	3121	2828	1792	1177
Mir22hg	chr11	75461789	75466676	+	4888	73.50	65.50	41.50	10
Prdm11	chr2	92972018	93045917	-	73900	968	666	440	296
Eif3j2	chr2	122028902	122029328	+	427	17.50	22	5	5
C920021L13Rik	chr3	95871772	95889093	+	17322	502.50	555.50	245	52
Gm15760	chr16	20545212	20548206	-	2995	123	107	50	8.50
1110002L01Rik	chr12	3403878	3426761	-	22884	374.50	280	202.50	66.50
Cyp2c69	chr19	39842814	39886549	-	43736	270	199	221	141
9130023H24Rik	chr7	128234458	128237781	-	3324	57.50	49.50	35	25.50
Gm4285	chr14	75843379	75844714	-	1336	58	42	32	6
Inafm2	chr2	118746008	118748810	+	2803	90	82	47	9
Ankrd66	chr17	43534188	43543389	-	9202	48	48	37	20
Gm14308	chr2	175321955	175337947	-	15993	53	32	24	9.50
Gm14305	chr2	176708578	176721813	+	13236	111	55	64	35
Zfp955b	chr17	33289794	33307241	+	17448	233	223	119	59
1300002E11Rik	chr16	21794568	21809040	+	14473	139	91	76	42
Srcap	chr7	127512233	127567054	+	54822	2055	2078	1105	184.50
AI662270	chr11	83223826	83260930	+	37105	817	774	545	121
Zfp831	chr2	174643784	174710832	+	67049	629	420	374	207
Zfp850	chr7	27984854	28013865	-	29012	206	162	136	78
Rps27rt	chr3	90212522	90213395	-	874	25	21	13	3
Ppp4r1l-ps	chr2	173579320	173659390	-	80071	776	544	495	299
Gm20939	chr17	94865168	94878321	+	13154	130	114	92	38
Tgfbr3l	chr8	4248464	4251423	+	2960	90	84	44.50	5
Cfap43	chr19	47736857	47919037	-	182181	3489.50	2935.50	2180	852.50
9330020H09Rik	chr15	98567574	98569583	+	2010	87.50	97	24.50	6
Camta1	chr4	150917322	151861626	-	944305	6309.50	5913	4057.50	3106
Yy2	chrX	157566119	157568735	-	2617	20	16.50	11.50	6.50
Kti12	chr4	108848035	108849413	+	1379	31	35	22	5
Rcc1	chr4	132331919	132353355	-	21437	765.50	474	312	68
Zbtb48	chr4	152019774	152027421	-	7648	231	183	137	33
Adat3	chr10	80603130	80607654	+	4525	106	165	66	27
Tdrd7	chr4	45965584	46034761	+	69178	998	795	488	270
A230020J21Rik	chr1	191025601	191029781	+	4181	108	112	47	28
0610009E02Rik	chr2	26445946	26459390	+	13445	392.50	472	252	57.50
Phtf1os	chr3	103964536	103968331	-	3796	252	491.50	195	10.50
Gm10575	chr7	141461483	141467521	-	6039	143	126	75	22
Sco2	chr15	89371637	89373596	-	1960	71.50	78.33	28.17	6.33
Pafah2	chr4	134396570	134427413	+	30844	819	977	328	118
Phactr4	chr4	132355923	132422239	-	66317	1155	948	626	223
Gm11110	chr17	57091370	57105692	-	14323	198	187	95.50	58.50
Zmym6	chr4	127077633	127124372	+	46740	538	352	315	146
Akna	chr4	63367125	63403104	-	35980	684	700	384	109
H6pd	chr4	149979475	150008773	-	29299	633	615	308	124
Tmem64	chr4	15266081	15286753	+	20673	195	130	127	46
Gpn2	chr4	133584612	133591735	+	7124	197	187	94	34
Stx12	chr4	132853501	132884259	-	30759	533	502	286	113
Uckl1os	chr2	181578730	181585170	+	6441	156.50	157	86.50	18.50
